название;url;genre;подписки;просмотры;количество авторов
Let's Play;https://www.webtoons.com/en/romance/letsplay/list?title_no=1218;Romance;4800000;652600000;1
The Remarried Empress;https://www.webtoons.com/en/fantasy/the-remarried-empress/list?title_no=2135;Fantasy;2700000;274200000;3
True Beauty;https://www.webtoons.com/en/romance/truebeauty/list?title_no=1436;Romance;7100000;917000000;1
Reunion;https://www.webtoons.com/en/romance/reunion/list?title_no=3416;Romance;901594;26700000;1
No Marriage is Perfect;https://www.webtoons.com/en/romance/no-marriage-is-perfect/list?title_no=4470;Romance;342591;6800000;3
Marry My Husband;https://www.webtoons.com/en/romance/marry-my-husband/list?title_no=4572;Romance;434337;2300000;2
Maybe Meant to Be;https://www.webtoons.com/en/romance/maybe-meant-to-be/list?title_no=4208;Romance;787898;14500000;2
Teenage Mercenary;https://www.webtoons.com/en/action/teenage-mercenary/list?title_no=2677;Action;1200000;60200000;2
LUMINE;https://www.webtoons.com/en/fantasy/lumine/list?title_no=1022;Fantasy;3100000;337100000;1
Monster Duke's Daughter;https://www.webtoons.com/en/fantasy/monster-dukes-daughter/list?title_no=4469;Fantasy;271862;3100000;2
Unlovable Replacement;https://www.webtoons.com/en/romance/unlovable-replacement/list?title_no=1762;Romance;1600000;80100000;1
Jackson's Diary;https://www.webtoons.com/en/supernatural/jacksons-diary/list?title_no=2446;Supernatural;824616;50800000;1
Get Schooled;https://www.webtoons.com/en/drama/get-schooled/list?title_no=2684;Drama;1000000;46200000;2
Sixth Sense Kiss;https://www.webtoons.com/en/romance/sixth-sense-kiss/list?title_no=2921;Romance;949312;50500000;2
Acception;https://www.webtoons.com/en/drama/acception/list?title_no=1513;Drama;859267;150500000;1
The RUNWAY;https://www.webtoons.com/en/romance/the-runway/list?title_no=3691;Romance;664070;23400000;3
Wished You Were Dead;https://www.webtoons.com/en/drama/wished-you-were-dead/list?title_no=3591;Drama;644336;20000000;4
Edith;https://www.webtoons.com/en/romance/edith/list?title_no=1536;Romance;1300000;116200000;1
Perfect Marriage Revenge;https://www.webtoons.com/en/romance/perfect-marriage-revenge/list?title_no=3484;Romance;706712;27200000;3
I Love Yoo;https://www.webtoons.com/en/drama/i-love-yoo/list?title_no=986;Drama;4600000;568100000;1
The Four of Them;https://www.webtoons.com/en/drama/the-four-of-them/list?title_no=1524;Drama;1100000;91700000;1
Weak Hero;https://www.webtoons.com/en/action/weakhero/list?title_no=1726;Action;1300000;175400000;2
Purple Hyacinth;https://www.webtoons.com/en/mystery/purple-hyacinth/list?title_no=1621;Mystery;1600000;107700000;2
The Dark Lord's Confession;https://www.webtoons.com/en/fantasy/the-dark-lords-confession/list?title_no=4464;Fantasy;260376;3300000;1
